User,Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
1,Mistborn: Secret History,Brandon Sanderson,,9.78E+12,hardcover,read,14/09/2024,20/09/2024,2024/09/14-2024/09/20,1,"adventurous, dark, emotional, hopeful, mysterious",medium,Character,Yes,Yes,No,Yes,4.25,,,,,No
1,Assassin's Apprentice,Robin Hobb,,9.78E+12,paperback,to-read,16/01/2026,,,0,,,,,,,,,,,,,No
1,Reaper Man,Terry Pratchett,,9.78E+12,paperback,read,25/06/2023,,,1,,,,,,,,5,,,,,No
1,Before the Coffee Gets Cold,Toshikazu Kawaguchi,"Arina Ii (Narrator), Geoffrey Trousselot (Translator)",9.78E+12,audio,read,02/11/2025,09/01/2026,2026/01/05-2026/01/09,1,"emotional, reflective, sad",medium,Character,Yes,It's complicated,No,Yes,3.25,<div>Really interesting idea and I think the limitations of the time travel really added to and helped elevate the general vibe throughout. I think the 2 chapters in the middle (husband and wife and the sisters) were a highlight.<br><br>I did find the first chapter to be the weakest and didn't really like that Fumiko didn't have a greater realisation and instead got wrapped up in travelling back in time to prevent a break up. It nearly bugged me enough to stop reading and cast&nbsp; bit of a shadow over the rest of the book&nbsp;<br><br>I do however think this book did a good job of exploring all that it could with the rules that exist kn the story and think its a nice little one off for a somewhat lazier/easier read</div>,,,,No
1,The House in the Cerulean Sea,TJ Klune,,9.78E+12,hardcover,to-read,27/10/2025,,,0,,,,,,,,,,,,,No
1,Playing with Fire,Derek Landy,,9.78E+12,hardcover,read,25/06/2023,,,1,,,,,,,,4,,,,,No
1,Words of Radiance,Brandon Sanderson,,9.78E+12,paperback,read,18/11/2024,27/12/2024,2024/11/18-2024/12/27,1,"adventurous, dark, hopeful, mysterious, tense",slow,A mix,Yes,Yes,Yes,Yes,4,,,,,No
1,Going Postal,Terry Pratchett,,9.78E+12,paperback,read,25/06/2023,,,1,,,,,,,,5,,,,,No
1,Feet of Clay,Terry Pratchett,,9.78E+12,paperback,read,25/06/2023,,,1,,,,,,,,4,,,,,No
1,Throne of Glass,Sarah J. Maas,,9.78E+12,paperback,read,09/03/2024,23/05/2024,2024/04/22-2024/05/23,1,"adventurous, mysterious",slow,Character,,Yes,,No,2.75,,,,,No
1,The Final Empire,Brandon Sanderson,,575089911,paperback,read,07/04/2024,24/03/2024,2024/03/10-2024/03/24,1,"adventurous, dark, emotional, hopeful, inspiring, mysterious",medium,A mix,Yes,Yes,Yes,Yes,5,,,,,No
1,Vicious,V.E. Schwab,,9.78E+12,paperback,read,07/10/2025,22/10/2025,2025/10/18-2025/10/22,1,"dark, emotional, funny, mysterious, tense",fast,A mix,Yes,Yes,No,Yes,4.25,<div>Went into this book fairly blind and found it to be a very fun take on the superhero genre. Excited to see what happens next</div>,,,,No
1,Soul Music,Terry Pratchett,,9.78E+12,hardcover,read,25/06/2023,,,1,,,,,,,,5,,,,,No
